,epoch,loss,root_mean_squared_error,ndcg_metric,recall_metric,hits_metric,mean_absolute_error,kl_div,val_loss,val_root_mean_squared_error,val_ndcg_metric,val_recall_metric,val_hits_metric,val_mean_absolute_error,val_kl_div
59,60,12.2960,0.0420,0.5537,0.3228,0.9404,0.0095,0.3769,36.8600,0.0615,0.1073,0.0139,0.1541,0.0130,0.0000e+00
60,61,12.2832,0.0420,0.5542,0.3230,0.9402,0.0095,0.3773,36.8730,0.0614,0.1067,0.0138,0.1538,0.0129,0.0000e+00
61,62,12.2979,0.0420,0.5544,0.3231,0.9404,0.0095,0.3789,37.0823,0.0616,0.1048,0.0136,0.1532,0.0130,0.0000e+00
62,63,12.2849,0.0420,0.5548,0.3232,0.9401,0.0095,0.3793,37.0052,0.0615,0.1057,0.0133,0.1491,0.0129,0.0000e+00
63,64,12.2917,0.0420,0.5553,0.3237,0.9411,0.0095,0.3801,37.1973,0.0615,0.1042,0.0132,0.1488,0.0129,0.0000e+00
64,65,12.2665,0.0419,0.5553,0.3239,0.9406,0.0095,0.3808,37.1830,0.0616,0.1036,0.0132,0.1492,0.0129,0.0000e+00
65,66,12.2608,0.0419,0.5560,0.3238,0.9413,0.0095,0.3816,37.2383,0.0615,0.1040,0.0131,0.1486,0.0129,0.0000e+00
66,67,12.2370,0.0419,0.5561,0.3239,0.9405,0.0095,0.3823,37.3625,0.0616,0.1023,0.0129,0.1473,0.0129,0.0000e+00
67,68,12.2332,0.0419,0.5569,0.3246,0.9414,0.0094,0.3830,37.2365,0.0616,0.1030,0.0127,0.1453,0.0129,0.0000e+00
68,69,12.2273,0.0418,0.5569,0.3245,0.9401,0.0094,0.3834,37.2624,0.0615,0.1031,0.0127,0.1443,0.0128,0.0000e+00
69,70,12.2313,0.0418,0.5577,0.3251,0.9415,0.0094,0.3845,37.5862,0.0617,0.0996,0.0122,0.1432,0.0129,0.0000e+00
70,71,12.2230,0.0418,0.5578,0.3249,0.9412,0.0094,0.3853,37.7551,0.0617,0.0990,0.0121,0.1425,0.0128,0.0000e+00
71,72,12.2186,0.0418,0.5583,0.3252,0.9422,0.0094,0.3861,37.7142,0.0617,0.0990,0.0121,0.1435,0.0129,0.0000e+00
72,73,12.1946,0.0418,0.5583,0.3257,0.9425,0.0094,0.3864,37.7141,0.0616,0.0986,0.0119,0.1415,0.0128,0.0000e+00
73,74,12.1949,0.0418,0.5589,0.3255,0.9420,0.0094,0.3873,37.6392,0.0617,0.0994,0.0118,0.1396,0.0129,0.0000e+00
74,75,12.1978,0.0418,0.5588,0.3255,0.9414,0.0094,0.3881,37.8458,0.0617,0.0982,0.0116,0.1386,0.0129,0.0000e+00
75,76,12.1869,0.0417,0.5595,0.3259,0.9413,0.0094,0.3888,37.8444,0.0618,0.0975,0.0116,0.1381,0.0129,0.0000e+00
76,77,12.1660,0.0417,0.5598,0.3260,0.9419,0.0093,0.3894,37.9551,0.0618,0.0961,0.0115,0.1374,0.0129,0.0000e+00
77,78,12.1752,0.0417,0.5602,0.3262,0.9426,0.0093,0.3897,38.1842,0.0619,0.0945,0.0112,0.1356,0.0129,0.0000e+00
78,79,12.1594,0.0417,0.5604,0.3265,0.9420,0.0093,0.3908,38.0196,0.0618,0.0951,0.0110,0.1360,0.0128,0.0000e+00
79,80,12.1688,0.0417,0.5606,0.3264,0.9418,0.0093,0.3910,38.3866,0.0620,0.0923,0.0109,0.1330,0.0129,0.0000e+00
80,81,12.1619,0.0417,0.5613,0.3268,0.9427,0.0093,0.3920,38.0196,0.0618,0.0946,0.0110,0.1344,0.0129,0.0000e+00
81,82,12.1358,0.0417,0.5615,0.3270,0.9421,0.0093,0.3926,38.2001,0.0618,0.0937,0.0108,0.1324,0.0128,0.0000e+00
82,83,12.1379,0.0416,0.5618,0.3275,0.9431,0.0093,0.3931,38.2255,0.0618,0.0934,0.0107,0.1315,0.0128,0.0000e+00
83,84,12.1228,0.0416,0.5621,0.3273,0.9424,0.0093,0.3937,38.5091,0.0620,0.0912,0.0105,0.1303,0.0129,0.0000e+00
84,85,12.1086,0.0416,0.5627,0.3277,0.9426,0.0093,0.3943,38.5488,0.0619,0.0913,0.0103,0.1292,0.0128,0.0000e+00
85,86,12.1075,0.0416,0.5631,0.3280,0.9428,0.0093,0.3955,38.5125,0.0619,0.0909,0.0103,0.1278,0.0128,0.0000e+00
86,87,12.0956,0.0416,0.5633,0.3280,0.9423,0.0092,0.3958,38.6923,0.0620,0.0897,0.0102,0.1291,0.0128,0.0000e+00
87,88,12.0972,0.0416,0.5634,0.3282,0.9431,0.0092,0.3966,38.6419,0.0620,0.0901,0.0101,0.1265,0.0128,0.0000e+00
88,89,12.0906,0.0416,0.5638,0.3285,0.9438,0.0092,0.3972,38.6350,0.0620,0.0899,0.0100,0.1264,0.0128,0.0000e+00
89,90,12.0813,0.0415,0.5642,0.3284,0.9432,0.0092,0.3981,38.8457,0.0620,0.0878,0.0098,0.1247,0.0128,0.0000e+00
